name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
Voyager Space,"$5,058,010","Sep 6, 2019","Denver, Colorado, United States, North America","Aerospace, Infrastructure, Space Travel",Voyager Space is an aviation and aerospace company that specializes in the space exploration industry.,Venture - Series Unknown,—,"$177,817,234"
American Robotics,"$5,025,000","Jan 25, 2019","Waltham, Massachusetts, United States, North America","AgTech, Computer Vision, Industrial Automation, Machine Learning, Military, Mining, Oil and Gas, Railroad, Robotics, Security","American Robotics is a Robot-as-a-Service company that develops FAA-approved pilotless, AI-powered drones for industrial purposes.",Series A,BRC Innovation,"$91,975,000"
UTVATE,"$5,015,000","Mar 31, 2020","San Francisco, California, United States, North America","Aerospace, Internet, Telecommunications",UTVATE unlocks satellite internet capacity through user terminal innovation.,Seed,Fifty Years,"$13,587,000"
Auriga Space,"$5,000,000","Aug 3, 2023","Los Angeles, California, United States, North America","Aerospace, Government, Hardware, National Security, Space Travel","Next-generation space launch company providing efficient, clean and flexible transport to space",Pre-Seed,—,"$5,000,000"
INTERSTELLAR LAB,"$5,000,000","Mar 7, 2022","Dover, Delaware, United States, North America","Aerospace, AgTech, Biotechnology, Farming, Natural Resources","Interstellar Lab designs, manufactures and operates biofarming platform to unleash the power of plants. On Earth and in Space.",Seed,—,"$8,200,000"
Fenix24,"$5,000,000","Mar 17, 2023","Chattanooga, Tennessee, United States, North America","Information Technology, National Security, Risk Management",Fenix24 is a part of the Conversant Group family of companies that focuses on post-incident disaster recovery and restoration.,Seed,Eos Venture Partners,"$5,000,000"
Slingshot Aerospace,"$5,000,000","Apr 17, 2019","Austin, Texas, United States, North America","Aerospace, Analytics, Simulation, Software","Slingshot Aerospace builds space data, analytics, and simulation solutions.",Seed,ATX Venture Partners,"$118,935,900"
Hydrosat,"$5,000,000","Nov 16, 2021","Washington, District of Columbia, United States, North America","Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.",Seed,OTB Ventures,"$35,623,002"
Hydrosat,"$5,000,000","Jun 17, 2021","Washington, District of Columbia, United States, North America","Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.",Seed,Cultivation Capital,"$35,623,002"
Phantom Space,"$5,000,000","Apr 14, 2021","Tucson, Arizona, United States, North America","Aerospace, Space Travel, Transportation","Phantom Space focuses on space transportation technology including satellites, propulsion, and launch vehicles.",Seed,Chenel Capital,"$27,655,605"
Cumberland Additive,"$5,000,000","Aug 25, 2021","Pflugerville, Texas, United States, North America","Aerospace, Industrial Manufacturing, Manufacturing, Plastics and Rubber Manufacturing",Cumberland Additive manufactures complex 3D printed metal and plastic parts for both production and prototype applications.,Venture - Series Unknown,—,"$6,656,544"
Wilder Systems,"$5,000,000","May 26, 2022","Austin, Texas, United States, North America","Aerospace, Air Transportation, Robotics",Wilder Systems is a robotics and automation company that specializes in the aerospace industry.,Series A,Cortado Ventures,"$16,283,802"
Accrete AI,"$5,000,000","Jun 9, 2022","New York, New York, United States, North America","Artificial Intelligence (AI), Government, Military, Software","Dual Use AI for defense, Intelligence and cybersecurity.",Venture - Series Unknown,—,"$29,950,000"
Dark,"$5,000,000","Dec 16, 2021","Paris, Ile-de-France, France, Europe",Aerospace,Dark is a developer of tactical space platforms for collision avoidance and satellite neutralization.,Seed,—,"$10,949,883"
Clarke Valve,"$5,000,000","Jul 26, 2022","North Kingstown, Rhode Island, United States, North America","Aerospace, Electronics, Energy, Industrial, Manufacturing",Clarke Valve is a developer of energy-saving shutter valves designed to work in a variety of industrial and aerospace applications.,Series D,Flowserve,"$35,017,500"
Paradigm Parachute & Defense,"$5,000,000","Jul 6, 2022","Pensacola, Florida, United States, North America","Aerospace, Air Transportation, Manufacturing","Paradigm Parachute & Defense provides precision manufactured, military-style parachute systems, and associated defense products.",Seed,—,"$8,475,000"
Atomos Space,"$5,000,000","Jan 12, 2022","Denver, Colorado, United States, North America","Aerospace, Logistics, Nuclear, Robotics, Space Travel",Atomos Space is an aerospace company building and developing orbital transfer vehicles.,Seed,Cantos,"$21,897,041"
Accrete AI,"$5,000,000","Oct 23, 2020","New York, New York, United States, North America","Artificial Intelligence (AI), Government, Military, Software","Dual Use AI for defense, Intelligence and cybersecurity.",Venture - Series Unknown,—,"$29,950,000"
Pixxel,"$5,000,000","Aug 19, 2020","El Segundo, California, United States, North America","Aerospace, Geospatial, Information Technology, Satellite Communication",Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Seed,"Blume VenBlume Venture Advisors Private Limitedtures, growX ventures, Lightspeed India Partners","$70,980,000"
Steelhead Composites,"$4,999,998","Jun 21, 2022","Golden, Colorado, United States, North America","Aerospace, Automotive, Clean Energy, CleanTech, Manufacturing",Steelhead Composites is a provider of hydrogen storage solutions used to allow widespread zero-emission fuel cell electrification.,Venture - Series Unknown,—,"$16,394,805"
SatVu,"£3,600,000","Apr 22, 2021","London, England, United Kingdom, Europe","Aerospace, Analytics, Geospatial",SatVu - An Earth Observation and satellite imagery analytics company deriving insights into economic activity,Seed,Seraphim Space,"£31,300,000"
Optics11,"€5,000,000","Oct 6, 2022","Amsterdam, Noord-Holland, The Netherlands, Europe","Energy, Military, Sensor, Test and Measurement",Maritime Defense and Energy Solutions,Venture - Series Unknown,FORWARD.one,"€5,000,000"
Avion,"$4,729,998","Aug 8, 2023","San Francisco, California, United States, North America","Aerospace, Drones, Medical",Avion is an autonomous aerial network that delivers medicals and vaccine supplies via drones.,Venture - Series Unknown,—,"$4,879,998"
Elroy Air,"$4,700,000","Feb 13, 2019","San Francisco, California, United States, North America","Aerospace, Air Transportation, Logistics, Robotics","Elroy Air is a logistics company that specializes in the fields of logistics, robotics, and air transportation.",Seed,Catapult Ventures,"$104,907,537"
Nemo Arms,"$4,600,000","Aug 30, 2023","Nampa, Idaho, United States, North America","Law Enforcement, Machinery Manufacturing, Manufacturing, Military, Wholesale",Nemo Arms is a defense company that manufactures and designs weapons and gears.,Venture - Series Unknown,—,"$8,445,002"
GPMS,"$4,579,606","Dec 27, 2023","Burlington, Vermont, United States, North America","Aerospace, Apps, Software",GPMS develops condition monitoring systems for industrial and aviation applications.,Venture - Series Unknown,—,"$7,079,606"
Novo Space,"$4,500,000","Jan 8, 2024","El Segundo, California, United States, North America",Aerospace,High-performance radiation-tolerant computers for new space applications,Venture - Series Unknown,—,"$4,500,000"
VeriTX,"$4,500,000","Apr 14, 2022","East Aurora, New York, United States, North America","Aerospace, Blockchain, Cyber Security, Data Governance, Software","VeriTX is a flexible digital supply chain solution for aerospace, medical, and industrial verticals.",Series A,Stony Lonesome Group,"$4,500,000"
Lowden Street Capital,"$4,500,000","Jan 1, 2020","Homewood, Alabama, United States, North America","Aerospace, Financial Services, Real Estate, Staffing Agency",Rural Private Equity Buyouts,Private Equity,Matt Bean,"$10,950,000"
Usercentrics,"€4,000,000","Jul 8, 2019","Munich, Bayern, Germany, Europe","Cyber Security, Digital Marketing, Identity Management, Law Enforcement, Legal, Legal Tech, Marketing Automation, Privacy, SaaS, Software","Usercentrics is a compliance technology SaaS provider, redefining the way to secure compliant data via consent management.",Series A,Alstin Capital,"€21,000,000"
Radical,"$4,465,000","Jan 5, 2024","Seattle, Washington, United States, North America","Aerospace, Internet, Telecommunications",Radical builds high-altitude solar aircraft to provide direct-to-handset LTE or 5G internet.,Seed,Scout Ventures,"$4,965,000"
Operational Solutions,"£3,500,000","Nov 30, 2023","London, England, United Kingdom, Europe","Aerospace, Manufacturing, Security","Operational Solutions is a company that provides tailored Subject Matter Expertise to the Defence, Security and Aerospace industry.",Venture - Series Unknown,Business Growth Fund,"£11,500,000"
Hinfact,"€4,000,000","Apr 12, 2023","Toulouse, Midi-Pyrenees, France, Europe","Aerospace, Computer Vision, Human Computer Interaction, Neuroscience, Software",Hinfact provides solutions to improve safety from pilot training to full-scale operations in the aviation industry.,Venture - Series Unknown,Innovacom,"€4,000,000"
ATMOS Space Cargo,"€4,000,000","Jun 22, 2023","Baden-baden, Baden-Wurttemberg, Germany, Europe","Aerospace, Manufacturing, Space Travel","ATMOS Space Cargo develops and manufactures space capsules to return cargo from space, microgravity experiments to entire rocket stages.",Seed,"Amadeus APEX Technology Fund, E2MC Ventures, HTGF | High-Tech Gruenderfonds, Seraphim Space, VENTIS CAPITAL","€5,300,000"
ClearSpace,"CHF4,000,000","Jun 30, 2021","Renens, Vaud, Switzerland, Europe","Aerospace, Satellite Communication, Space Travel",On-orbit services to enable a thriving New Space economy.,Seed,—,"$33,966,134"
DBT Aero,"$4,311,559","Jun 7, 2019","Riverton, Utah, United States, North America","Aerospace, Commercial, Energy Efficiency, Manufacturing","Making sustainable, technologically advanced flight affordable, safe & quiet",Pre-Seed,—,"$5,747,814"
Texray AB,"SEK45,000,000","Nov 21, 2023","Göteborg, Vastra Gotaland, Sweden, Europe","Aerospace, Health Care, Medical, Textiles",Texray AB radiation protection textile to address the need for durable and comfortable personal protection equipment (PPE),Venture - Series Unknown,Industrifonden,"SEK45,000,000"
9T Labs,"$4,300,000","Jan 29, 2020","Zürich, Zurich, Switzerland, Europe","Aerospace, Automotive, Industrial, Industrial Engineering, Mechanical Engineering",Making industry grade carbon fiber composites more accessible to series production through additive manufacturing.,Seed,—,"$22,500,000"
Street Smarts VR,"$4,300,000","Jun 7, 2022","New York, New York, United States, North America","Law Enforcement, Legal, Virtual Reality",Street Smarts VR is a veteran-owned virtual reality (VR) training platform.,Venture - Series Unknown,—,"$16,045,000"
Verijet,"$4,277,628","Jan 4, 2021","Opa Locka, Florida, United States, North America","Aerospace, Artificial Intelligence (AI), Software",Verijet is a technology company using novel AI and supercomputing to grow the private aviation industry.,Series A,—,"$14,068,628"
Archangel Lightworks,"€4,000,000","Feb 15, 2023","London, England, United Kingdom, Europe","Aerospace, Laser, Optical Communication, Satellite Communication",Archangel Lightworks builds deployable laser communication systems for the space-enabled networks of the future.,Seed,Oxford Science Enterprises,"€4,000,000"
Leaf Space,"€3,500,000","Jan 13, 2021","Milan, Lombardia, Italy, Europe","Aerospace, Satellite Communication, Space Travel",Leaf Space wants to simplify the access to Space for microsatellites’ operators.,Series A,"Primo Ventures, Whysol Investments","€42,362,063"
Spintech,"$4,250,000","Mar 12, 2019","Miamisburg, Ohio, United States, North America","Aerospace, Manufacturing",Spintech provides game-changing shape memory polymer technologies for composite manufacturing.,Series A,Break Trail Ventures,"$5,535,000"
Drone Express,"$4,201,500","Jan 1, 2023","Dayton, Ohio, United States, North America","Aerospace, Delivery Service, Drones",Drone Express is a full-service logistics company that uses airborne autonomous drones for local package delivery.,Seed,G2A Investment Partners,"$7,751,500"
Proteus Space,"$4,200,000","Jul 12, 2023","Los Angeles, California, United States, North America","Aerospace, Government, Industrial Manufacturing, Manufacturing, National Security, Space Travel",The future of rapid satellite design and manufacturing.,Seed,Moonshots Capital,"$4,200,000"
Bounce Imaging,"$4,200,000","May 2, 2022","Boston, Massachusetts, United States, North America","Consumer Electronics, Hardware, Law Enforcement, Robotics, Sensor",Throwable omnidirectional/360 cameras for first responders,Series A,R42 Group,"$9,485,000"
Urban Sky,"$4,100,000","Aug 19, 2021","Denver, Colorado, United States, North America","Aerospace, Geospatial, Mapping Services, Remote Sensing, Smart Cities",Urban Sky offers a revolution in remote sensing through the new stratospheric microballon.,Seed,"Catapult Ventures, Techstars, Union Labs Ventures","$15,963,834"
Steelhead Composites,"$4,093,368","Aug 14, 2020","Golden, Colorado, United States, North America","Aerospace, Automotive, Clean Energy, CleanTech, Manufacturing",Steelhead Composites is a provider of hydrogen storage solutions used to allow widespread zero-emission fuel cell electrification.,Seed,—,"$16,394,805"
Kurs Orbital,"€3,700,000","Mar 7, 2024","Turin, Piemonte, Italy, Europe",Aerospace,"Kurs Orbital enables satellite life extension and space debris removal missions, securing safe and sustainable orbits for generations.",Seed,OTB Ventures,"€3,700,000"
IDR Law,"£3,250,000","Jun 5, 2023","Harrogate, North Yorkshire, United Kingdom, Europe","Law Enforcement, Service Industry","IDR Law is a nationally recognised boutique law firm that focuses only on resolving legal issues that relate to trusts, wills, and probate.",Venture - Series Unknown,BGF Ventures,"£3,250,000"
Amini,"$4,000,000","Nov 30, 2023","New York, New York, United States, North America","Aerospace, Artificial Intelligence (AI), Geospatial, Machine Learning, Software",Amini is a climate tech business that uses artificial intelligence and satellite technology to bridge Africa's environmental data.,Seed,"Female Founders Fund, Salesforce Ventures","$6,000,000"
Darkhive,"$4,000,000","Nov 30, 2023","San Antonio, Texas, United States, North America","Military, Public Safety, Robotics",Autonomy for Everyone,Seed,Crosslink Capital,"$5,100,000"
Exosonic,"$4,000,000","May 5, 2022","Los Angeles, California, United States, North America","Aerospace, Air Transportation",Developing supersonic UAVs as a steppingstone towards quiet supersonic passenger flight,Seed,—,"$4,150,000"
Cognitive Space,"$4,000,000","Oct 16, 2023","Houston, Texas, United States, North America","Aerospace, Artificial Intelligence (AI), Satellite Communication",Cognitive Space develops a generation machine intelligence platform for satellite constellation management.,Seed,—,"$9,620,000"
Cognitive Space,"$4,000,000","Nov 18, 2021","Houston, Texas, United States, North America","Aerospace, Artificial Intelligence (AI), Satellite Communication",Cognitive Space develops a generation machine intelligence platform for satellite constellation management.,Seed,Grit Ventures,"$9,620,000"
Social Links,"$4,000,000","Jul 21, 2022","New York, New York, United States, North America","Big Data, Business Intelligence, Data Mining, Data Visualization, Information Technology, Law Enforcement, National Security, Security, Software","A US-based company, offering a powerful range of OSINT solutions for digital investigations, threat intelligence, cybersecurity, and more.",Series A,—,"$4,000,000"
TransAstra,"$4,000,000","Sep 10, 2021","Los Angeles, California, United States, North America","Aerospace, Industrial, Software, Space Travel","TransAstra develops a technology to find, prospect, harvest and use space resources.",Seed,Helium-3 Ventures,"$6,900,000"
Primordial Labs,"$4,000,000","Oct 7, 2022","New Haven, Connecticut, United States, North America","Aerospace, Artificial Intelligence (AI), Autonomous Vehicles, GovTech, Machine Learning, National Security",Primordial Labs is an autonomy company with a human-machine interface obsession. We are focused on the mission of national security.,Seed,Stony Lonesome Group,"$4,000,000"
Miraex,"$4,000,000","May 1, 2022","Ecublens, Vaud, Switzerland, Europe","Aerospace, AgTech, Industrial Automation, Information Technology, Nuclear, Railroad, Sensor, Software, Wind Energy","Miraex develops photonic and quantum solutions for next-gen sensing, networking, and computing.",Seed,SICTIC,"$6,942,086"
Airspace Link,"$4,000,000","Dec 10, 2019","Detroit, Michigan, United States, North America","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,Seed,Indicator Ventures,"$41,000,070"
CYBERA,"$4,000,000","Jun 15, 2022","New York, New York, United States, North America","Banking, Business Intelligence, Cryptocurrency, Cyber Security, Law Enforcement",We close gaps that allow cyber criminals to thrive by sharing actionable information in real-time.,Seed,"Converge, New North Ventures","$5,000,000"
Kambr,"$4,000,000","Sep 16, 2019","Amsterdam, Noord-Holland, The Netherlands, Europe","Aerospace, B2B, Consulting, Media and Entertainment, Software, Travel","Raising airline revenue performance through Software, Consultancy and Content.",Seed,—,"$7,000,000"
Flyby Robotics,"$4,000,000","Jul 5, 2022","Los Angeles, California, United States, North America","Aerospace, Machinery Manufacturing",Flyby Robotics is a developer of American-made autonomous drones built for on-edge ML capabilities.,Pre-Seed,MaC Venture Capital,"$4,000,000"
Nooks,"$4,000,000","Feb 27, 2023","Santa Ynez, California, United States, North America","Aerospace, Information Technology",Nooks provides Classified-Spaces-as-a-Service (CSaaS) to both commercial and government customers.,Seed,—,"$5,160,007"
Violet Labs,"$4,000,000","Jun 30, 2022","San Francisco, California, United States, North America","Aerospace, Autonomous Vehicles, Medical Device, Robotics",Software that powers hardware.,Seed,Space Capital,"$4,000,000"
Benchmark Space Systems,"$4,000,000","Jun 3, 2022","South Burlington, Vermont, United States, North America","Aerospace, Hardware, Manufacturing",Benchmark Space Systems is an aerospace company that offers propulsion solutions for small satellite applications.,Convertible Note,—,"$55,672,653"
Oxford Space Systems,"$4,000,000","May 17, 2024","Harwell, Oxfordshire, United Kingdom, Europe","Aerospace, Hardware",OSS Is a space technology business that provides multi-award winning deployable antennas & structures made from proprietary materials.,Venture - Series Unknown,Oxford Innovation Finance,"$23,580,423"
Smartabase,"A$5,500,000","Oct 13, 2020","Boulder, Colorado, United States, North America","Analytics, Electronic Health Record (EHR), Military, Performing Arts, Software, Sports, Wellness",Smartabase is a human performance optimization platform for elite sports teams and military organizations.,Venture - Series Unknown,EVP,"$13,904,042"
Verge Aero,"$3,900,000","Sep 1, 2022","Philadelphia, Pennsylvania, United States, North America","Aerospace, Software","A Philadelphia-based team of electrical, computer, software, systems, and aerospace engineers.",Seed,eLab Ventures,"$4,000,000"
Rizse,"$3,837,500","Mar 1, 2021","Austin, Texas, United States, North America","Aerospace, Artificial Intelligence (AI), Drones, Machine Learning, Robotics",Rizse helps MROs and airlines facilitate inspections by performing visual inspections.,Seed,New Age Capital,"$10,418,208"
Oxford Space Systems,"£3,000,000","Jan 8, 2024","Harwell, Oxfordshire, United Kingdom, Europe","Aerospace, Hardware",OSS Is a space technology business that provides multi-award winning deployable antennas & structures made from proprietary materials.,Venture - Series Unknown,UK Innovation & Science Seed Fund,"$23,580,423"
Wingly,"€3,500,000","May 13, 2024","Paris, Ile-de-France, France, Europe","Aerospace, Internet, Leisure, Travel",Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,Venture - Series Unknown,Innovacom,"€8,500,000"
Sonfarrel Aerospace,"$3,750,000","Oct 2, 2019","Anaheim, California, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing",Son-Aero is a manufacturer of aerospace and defense parts and helps with aerospace or defense projects.,Venture - Series Unknown,—,"$3,750,000"
Monarc Holdings,"$3,700,000","Jan 31, 2023","Rochester, New York, United States, North America","Advanced Materials, Information Technology, National Security, Public Safety","Monarc Holdings focuses on the growth of innovative ideas and technologies that protect people, places, and things.",Seed,—,"$4,700,000"
Kayhan Space,"$3,700,000","Dec 14, 2021","Boulder, Colorado, United States, North America",Aerospace,Kayhan Space ensures satellite operators maintain situational awareness of their space assets,Seed,"Initialized Capital, Root Ventures","$11,270,000"
Pangea Aerospace,"€3,000,000","May 19, 2021","Barcelona, Catalonia, Spain, Europe",Aerospace,Pangea Aerospace has been created by gathering international engineers together under a common objective.,Seed,Inveready,"€4,071,429"
Hybrid Air Vehicles,"$3,580,140","Nov 18, 2022","Bedford, Bedfordshire, United Kingdom, Europe","Aerospace, Air Transportation, Information Technology, Manufacturing","Hybrid Air Vehicles manufactures hybrid air vehicles used to provide sustainable, versatile, and efficient air vehicles.",Venture - Series Unknown,—,"$17,157,661"
Phase Four,"$3,565,499","Jan 15, 2020","El Segundo, California, United States, North America","Aerospace, Innovation Management, Space Travel",Phase Four is a provider of electric propulsion (EP) for small satellites.,Venture - Series Unknown,—,"$35,815,499"
Hidden Level,"$3,560,000","Nov 19, 2019","Syracuse, New York, United States, North America","Aerospace, Software, Wired Telecommunications","Hidden Level is an aviation and aerospace company that specializes in radar sensors, engineering contracting, and digital signal processing.",Seed,Quest Venture Partners,"$30,858,888"
Skyroads,"€2,900,000","Dec 9, 2020","Munich, Bayern, Germany, Europe","Aerospace, Drones, Technical Support",Our Skyroads System enables Advanced Air Mobility to scale safely and efficiently.,Seed,Vector Venture Capital,"€2,900,000"
ThinkOrbital,"$3,500,000","Mar 1, 2023","Denver, Colorado, United States, North America","Aerospace, Manufacturing, Robotics, Space Travel",Construction technologies for space applications,Pre-Seed,—,"$4,010,000"
Odys Aviation,"$3,500,000","Jul 29, 2021","Long Beach, California, United States, North America","Aerospace, Air Transportation, Commercial",Odys Aviation is an aircraft startup making hybrid-electric vertical takeoff and landing (VTOL) aircraft for regional mobility.,Pre-Seed,—,"$15,900,000"
Nemo Arms,"$3,500,000","Mar 22, 2023","Nampa, Idaho, United States, North America","Law Enforcement, Machinery Manufacturing, Manufacturing, Military, Wholesale",Nemo Arms is a defense company that manufactures and designs weapons and gears.,Venture - Series Unknown,—,"$8,445,002"
First Resonance,"$3,500,000","Dec 4, 2020","Los Angeles, California, United States, North America","Aerospace, Industrial Automation, Manufacturing, Operating Systems, Software","First Resonance develops ION Factory OS, a robust manufacturing production software that provides data insights and improves scalability.",Seed,Blue Bear Capital,"$19,300,000"
Basalt Tech,"$3,500,000","May 30, 2024","San Francisco, California, United States, North America","Aerospace, Industrial Automation, Space Travel",Basalt Tech is a spacecraft software company that helps to produce optimized instructions for fleets of spacecraft.,Seed,Initialized Capital,"$4,000,000"
Zulu Pods,"$3,500,000","Mar 7, 2024","Fort Lauderdale, Florida, United States, North America","Aerospace, Air Transportation, Military",Zulu Pods is an aerospace Technology start-up that develops lubrication systems for jet engines.,Seed,—,"$6,355,000"
NXT Communications,"$3,477,572","Feb 9, 2023","Ball Ground, Georgia, United States, North America","Communication Hardware, National Security, Product Design",NXT Communications develops flat panel antennas for broadband on the move.,Venture - Series Unknown,—,"$3,477,572"
Unmanned Defense Systems,"€3,200,000","May 24, 2024","Vilnius, Vilniaus Apskritis, Lithuania, Europe","Aerospace, Military","Unmanned Defense Systems researches, develops, designs, and manufactures tactical military UAV systems.",Seed,Coinvest Capital,"€4,200,000"
Alba Orbital,"$3,400,000","May 14, 2021","Glasgow, Glasgow City, United Kingdom, Europe","Aerospace, Satellite Communication, Space Travel",Alba Orbital is a pico-satellite company that builds and designs small commercial satellite platforms.,Seed,Metaplanet,"$3,400,000"
Wingly,"€3,000,000","Jun 16, 2020","Paris, Ile-de-France, France, Europe","Aerospace, Internet, Leisure, Travel",Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,Series A,Innovacom,"€8,500,000"
Vibrant Corporation,"$3,350,000","Jul 18, 2023","Albuquerque, New Mexico, United States, North America","Aerospace, Developer APIs, Developer Tools",Vibrant Corporation develops process compensated resonance testing technology for the aerospace and power generation industries.,Series A,Advantage Capital,"$5,693,567"
Agile Space Industries,"$3,340,000","Apr 7, 2020","Durango, Colorado, United States, North America","3D Printing, Aerospace, Air Transportation, Space Travel","Agile Space Industries is an aviation and aerospace that specializes in propulsion, test rockets, and space exploration.",Seed,—,"$18,140,000"
Comand AI,"€3,000,000","Jul 11, 2023","Paris, Ile-de-France, France, Europe","Artificial Intelligence (AI), Government, Military, National Security, Software",Comand AI empowers defense forces with unparalleled decision-making and operating capabilities.,Seed,Frst,"€3,000,000"
Orbit Fab,"$3,300,000","Oct 4, 2019","Lafayette, Colorado, United States, North America","Aerospace, Energy, Infrastructure, Manufacturing, Space Travel",Orbit Fab is a supplier of tankers and other infrastructure needed for in-space refueling of satellites.,Seed,—,"$42,167,713"
SingleFile Technologies,"$3,300,000","Aug 12, 2019","Seattle, Washington, United States, North America","Information Technology, Law Enforcement, Software","SingleFile Technologies is a companies and law firms fill out reports, manage filings, maintain internal records and remain in good standing",Seed,Foundry Group,"$15,100,000"
Picterra,"$3,300,000","Sep 17, 2019","Ecublens, Vaud, Switzerland, Europe","Aerospace, Artificial Intelligence (AI), Computer Vision, Drones, Geospatial, Information Technology, Machine Learning, SaaS, Software",Geospatial ML SaaS platform for Earth Observation imagery,Seed,Space Capital,"$9,904,839"
YellowDog,"£2,500,000","Mar 27, 2019","Bristol, Bristol, City of, United Kingdom, Europe","Aerospace, Animation, Cloud Computing, Cloud Management, Enterprise Software, Financial Services, Life Science, SaaS, Scheduling, Software",Helping businesses power their innovations with the most scalable cloud native scheduling and provisioning technology.,Series A,Bloc Ventures,"£5,381,405"
WingWork,"$3,250,000","Dec 12, 2023","Bellevue, Washington, United States, North America","Aerospace, Enterprise Software, SaaS",WingWork SaaS platform streamlines fleet management and maintenance tracking for private aviation.,Seed,—,"$4,250,000"
SingleFile Technologies,"$3,200,000","Jan 4, 2023","Seattle, Washington, United States, North America","Information Technology, Law Enforcement, Software","SingleFile Technologies is a companies and law firms fill out reports, manage filings, maintain internal records and remain in good standing",Seed,"Foundry Group, PSL Ventures","$15,100,000"
Venus Aerospace,"$3,173,499","Jan 21, 2021","Houston, Texas, United States, North America","Aerospace, Product Research, Transportation",Venus Aerospace is a space company that provides an innovative approach to hypersonic transportation.,Seed,Prime Movers Lab,"$39,101,960"
Boom Supersonic,"$3,131,868","Apr 17, 2020","Centennial, Colorado, United States, North America","Aerospace, Air Transportation, Manufacturing","Boom Supersonic is a commercial airplane manufacturer that builds supersonic airliners designed for speed, safety, and sustainability.",Venture - Series Unknown,—,"$207,496,024"
Skyports,"$3,130,000","Aug 2, 2022","London, England, United Kingdom, Europe","Aerospace, Drone Management, Transportation, Travel",Skyports provides urban air mobility infrastructure and manages end-to-end drone delivery services.,Series B,ST Engineering Ventures Fund,"$143,581,347"
Osprey Flight Solutions,"£2,200,000","Apr 27, 2021","Basingstoke, Hampshire, United Kingdom, Europe","Aerospace, Security",Osprey Flight Solutions that brings a step change in aviation security expertise.,Seed,24 Haymarket,"£3,299,939"
Payload Aerospace,"€2,673,000","Feb 11, 2022","Elche, Comunidad Valenciana, Spain, Europe",Aerospace,Payload Aerospace is a company that are into technology development in aerospace sector.,Venture - Series Unknown,—,"€4,564,000"
Airspace Link,"$3,000,050","Dec 18, 2019","Detroit, Michigan, United States, North America","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,Seed,Indicator Ventures,"$41,000,070"
AireXpert,"$3,000,000","Nov 14, 2023","Buffalo, New York, United States, North America","Aerospace, Air Transportation, Software",AireXpert is a collaboration & decision support SaaS platform built for technical stakeholders across aerospace & aviation supply chains,Seed,Reformation Partners,"$5,170,012"
Malones CNC Machining Inc.,"$3,000,000","Feb 6, 2024","Grove, Oklahoma, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing, Military",Malone's CNC Machining Inc. is a manufacturer of military aircraft parts and assemblies.,Venture - Series Unknown,Advantage Capital,"$3,000,000"
Siriusjet,"$3,000,000","Jan 3, 2021","Westport, Connecticut, United States, North America","Aerospace, Air Transportation, Battery, CleanTech, Electric Vehicle, Fuel Cell, Last Mile Transportation, Military, Renewable Energy, Sustainability","Aviation, Hydrogen, Regional Mobility",Pre-Seed,—,"$3,000,000"
LENX,"$3,000,000","Oct 16, 2023","Miami, Florida, United States, North America","Drones, Law Enforcement, Network Security, Public Safety, Security","LENX advanced weapons detection, AI drones, surveillance technology, and real-time communication solutions.",Seed,Metis Economic Development Fund (MEDF),"$6,000,000"
Continuum Space Systems,"$3,000,000","Jun 22, 2023","Pasadena, California, United States, North America","Aerospace, Management Information Systems, Space Travel",Continuum Space built the Unified Mission Management SaaS platform for planning and executing space missions with less time and cost,Seed,Prophetic Capital Partners,"$6,000,000"
LENX,"$3,000,000","Mar 17, 2021","Miami, Florida, United States, North America","Drones, Law Enforcement, Network Security, Public Safety, Security","LENX advanced weapons detection, AI drones, surveillance technology, and real-time communication solutions.",Pre-Seed,—,"$6,000,000"
TRL11,"$3,000,000","May 23, 2023","Los Angeles, California, United States, North America","Aerospace, Battery, Manufacturing, Sensor",TRL11 is an aviation and aerospace component manufacturing company that provides next-generation technology solutions for the space economy.,Pre-Seed,Boost VC,"$3,000,000"
Continuum Space Systems,"$3,000,000","May 1, 2021","Pasadena, California, United States, North America","Aerospace, Management Information Systems, Space Travel",Continuum Space built the Unified Mission Management SaaS platform for planning and executing space missions with less time and cost,Seed,—,"$6,000,000"
Kinemagic,"$3,000,000","Oct 1, 2019","Metairie, Louisiana, United States, North America","Augmented Reality, GovTech, Industrial, Information Technology, Military, Software, Virtual Reality",Making XR innovation accessible for every facility on the planet.,Seed,—,"$3,000,000"
